order_id,vendor_id,order_amount,order_time,delivery_status,customer_rating,refund_requested
1,108,21871,4/26/2026,Failed,,TRUE
2,108,10762,4/24/2026,Delivered,3.9,FALSE
3,152,11075,4/30/2026,Delivered,4.8,FALSE
4,232,4409,5/12/2026,Delivered,4.6,TRUE
5,154,11634,5/2/2026,Failed,,FALSE
6,73,12291,5/4/2026,Delivered,4,FALSE
7,211,17779,4/17/2026,Delivered,3.1,FALSE
8,235,20852,5/5/2026,Delivered,4,FALSE
9,33,14691,4/28/2026,Failed,,FALSE
10,72,17330,4/21/2026,Failed,,TRUE
11,69,13716,4/15/2026,Delivered,4.4,FALSE
12,84,8215,4/30/2026,Delivered,4.1,FALSE
13,44,21743,5/13/2026,Delivered,4.2,TRUE
14,22,14021,5/2/2026,Delivered,4.5,TRUE
15,18,21501,4/30/2026,Failed,,FALSE
16,195,11494,5/4/2026,Delivered,4.3,FALSE
17,232,13683,5/2/2026,Delivered,4.2,FALSE
18,199,6598,5/7/2026,Failed,,FALSE
19,159,11428,4/28/2026,Failed,,FALSE
20,111,8371,4/16/2026,Delivered,4.6,FALSE
21,128,19248,4/22/2026,Delivered,3.9,FALSE
22,108,16126,5/2/2026,Delivered,4,FALSE
23,234,14577,4/16/2026,Delivered,4.1,TRUE
24,96,9457,4/28/2026,Delivered,4.9,FALSE
25,224,6112,4/21/2026,Delivered,3.5,TRUE
26,198,7681,5/13/2026,Delivered,4.7,FALSE
27,109,12393,4/15/2026,Delivered,4.1,FALSE
28,145,19891,4/19/2026,Failed,,FALSE
29,245,21664,5/14/2026,Failed,,FALSE
30,60,10673,4/24/2026,Failed,,FALSE
31,159,19554,4/29/2026,Delivered,4.1,FALSE
32,165,14425,5/9/2026,Failed,,FALSE
33,47,7531,5/9/2026,Delivered,4.5,TRUE
34,72,12987,5/12/2026,Delivered,4.7,FALSE
35,139,21397,5/1/2026,Failed,,TRUE
36,51,17190,4/24/2026,Delivered,4,FALSE
37,155,12790,5/2/2026,Delivered,4.8,FALSE
38,25,21013,5/12/2026,Delivered,4.3,FALSE
39,178,8166,4/16/2026,Delivered,4.1,FALSE
40,130,10718,4/21/2026,Failed,,TRUE
41,9,4119,5/3/2026,Failed,,FALSE
42,10,13530,4/18/2026,Delivered,3.8,FALSE
43,196,16133,4/18/2026,Delivered,4.9,FALSE
44,149,6680,4/25/2026,Delivered,4.8,FALSE
45,78,18309,5/11/2026,Delivered,5,FALSE
46,131,14170,5/8/2026,Delivered,4.6,FALSE
47,27,15767,5/12/2026,Delivered,4.3,FALSE
48,108,13949,5/11/2026,Delivered,4.6,FALSE
49,28,12997,5/4/2026,Failed,,FALSE
50,160,21592,5/10/2026,Delivered,4.1,FALSE
51,194,19976,4/20/2026,Failed,,FALSE
52,18,20635,5/10/2026,Delivered,4,FALSE
53,91,4282,4/17/2026,Delivered,4.7,FALSE
54,201,18776,5/13/2026,Delivered,2.7,FALSE
55,71,14201,5/7/2026,Failed,,FALSE
56,110,17601,5/9/2026,Delivered,4.4,FALSE
57,99,4967,5/9/2026,Failed,,FALSE
58,26,10131,5/5/2026,Failed,,FALSE
59,13,15414,4/29/2026,Failed,,TRUE
60,67,10405,4/27/2026,Failed,,TRUE
61,56,16235,4/23/2026,Failed,,FALSE
62,237,15135,5/12/2026,Delivered,3.9,FALSE
63,47,10840,4/28/2026,Delivered,4.2,TRUE
64,34,5647,4/26/2026,Delivered,4.2,TRUE
65,79,5840,4/30/2026,Delivered,4.3,FALSE
66,157,13985,4/26/2026,Failed,,FALSE
67,12,5613,5/2/2026,Delivered,4.8,FALSE
68,8,9253,4/25/2026,Failed,,FALSE
69,211,20220,5/6/2026,Delivered,3.3,FALSE
70,192,10853,4/29/2026,Delivered,4.2,FALSE
71,140,6627,4/20/2026,Delivered,4.1,TRUE
72,87,12716,4/26/2026,Delivered,4.1,FALSE
73,72,16976,5/6/2026,Failed,,FALSE
74,130,5926,5/4/2026,Delivered,4.9,FALSE
75,96,19149,5/2/2026,Failed,,FALSE
76,126,10025,4/18/2026,Delivered,4.2,FALSE
77,195,7615,5/1/2026,Delivered,5,FALSE
78,92,9246,5/11/2026,Failed,,FALSE
79,94,10769,5/9/2026,Failed,,FALSE
80,36,20777,4/18/2026,Delivered,4.6,FALSE
81,156,4484,5/2/2026,Failed,,FALSE
82,125,18358,5/8/2026,Delivered,4.6,TRUE
83,43,15400,5/13/2026,Delivered,4.6,FALSE
84,203,11616,4/25/2026,Delivered,3.2,TRUE
85,169,12626,5/6/2026,Failed,,TRUE
86,154,4662,5/4/2026,Delivered,3.9,FALSE
87,73,15837,4/25/2026,Delivered,4.6,FALSE
88,17,14138,5/12/2026,Failed,,FALSE
89,243,11748,4/20/2026,Delivered,4.1,FALSE
90,145,17443,5/10/2026,Delivered,4.2,TRUE
91,132,17902,4/26/2026,Delivered,5,FALSE
92,137,5882,5/4/2026,Failed,,FALSE
93,37,18964,5/12/2026,Delivered,4.2,FALSE
94,130,18117,4/21/2026,Failed,,FALSE
95,135,5757,5/13/2026,Failed,,FALSE
96,23,9405,4/27/2026,Delivered,4.8,FALSE
97,182,5969,4/28/2026,Delivered,4.4,FALSE
98,156,6882,5/1/2026,Failed,,TRUE
99,68,18360,4/29/2026,Delivered,4.6,FALSE
100,123,11120,4/20/2026,Delivered,4.5,TRUE
101,112,4080,4/18/2026,Delivered,4.1,FALSE
102,198,18557,5/4/2026,Delivered,4.8,FALSE
103,152,7365,5/4/2026,Delivered,4.3,FALSE
104,77,16073,5/9/2026,Failed,,FALSE
105,168,10996,4/21/2026,Failed,,FALSE
106,100,10336,5/12/2026,Failed,,FALSE
107,189,16708,5/8/2026,Delivered,4.6,FALSE
108,91,6122,4/24/2026,Delivered,4,FALSE
109,195,6544,4/23/2026,Failed,,TRUE
110,168,6482,5/6/2026,Failed,,TRUE
111,56,12760,4/15/2026,Delivered,4.4,FALSE
112,43,7368,4/22/2026,Failed,,FALSE
113,103,21133,4/20/2026,Failed,,FALSE
114,58,18674,5/4/2026,Failed,,TRUE
115,192,12851,4/27/2026,Failed,,TRUE
116,51,5488,5/11/2026,Delivered,4.2,FALSE
117,80,8047,5/7/2026,Delivered,4.7,FALSE
118,160,17365,4/19/2026,Failed,,FALSE
119,162,6056,4/20/2026,Delivered,4.7,FALSE
120,126,13834,4/16/2026,Failed,,FALSE
121,220,18941,5/5/2026,Delivered,3.8,FALSE
122,14,12095,4/15/2026,Delivered,4.3,FALSE
123,37,17961,4/22/2026,Delivered,4.8,FALSE
124,166,16404,4/18/2026,Failed,,FALSE
125,174,6506,4/20/2026,Delivered,4.8,FALSE
126,161,10315,5/9/2026,Delivered,4.2,FALSE
127,198,9267,5/10/2026,Delivered,4,FALSE
128,231,18142,5/3/2026,Delivered,4.8,FALSE
129,40,16626,5/5/2026,Delivered,4,FALSE
130,93,18913,5/1/2026,Failed,,TRUE
131,44,14394,4/20/2026,Delivered,4.3,TRUE
132,26,15405,5/4/2026,Delivered,4.4,TRUE
133,81,16505,5/11/2026,Delivered,4.9,TRUE
134,94,14475,4/26/2026,Delivered,4.6,TRUE
135,196,10448,4/28/2026,Delivered,4.1,TRUE
136,123,18847,4/20/2026,Failed,,FALSE
137,93,18910,4/30/2026,Delivered,4.5,FALSE
138,138,18189,4/30/2026,Delivered,3.9,FALSE
139,240,19061,5/13/2026,Delivered,4.9,FALSE
140,48,11943,5/14/2026,Delivered,4,TRUE
141,193,20369,5/14/2026,Delivered,4.8,FALSE
142,80,5680,4/19/2026,Delivered,3.9,FALSE
143,187,20268,4/16/2026,Delivered,4.3,FALSE
144,88,17068,4/18/2026,Delivered,4.6,TRUE
145,197,5713,5/1/2026,Delivered,3.9,TRUE
146,167,8071,5/6/2026,Failed,,FALSE
147,7,16521,5/4/2026,Delivered,4.6,TRUE
148,136,5275,5/6/2026,Failed,,FALSE
149,216,18507,5/5/2026,Delivered,3.1,FALSE
150,87,6468,4/28/2026,Delivered,3.9,FALSE
151,159,4153,5/7/2026,Delivered,4.2,TRUE
152,63,15305,4/21/2026,Delivered,4.5,TRUE
153,126,19479,4/23/2026,Delivered,4,FALSE
154,39,14612,5/13/2026,Failed,,FALSE
155,123,9661,5/9/2026,Delivered,4.1,FALSE
156,28,8467,4/18/2026,Delivered,4.8,FALSE
157,185,19765,4/21/2026,Delivered,4.7,FALSE
158,86,15631,4/14/2026,Delivered,4.3,TRUE
159,71,12992,5/13/2026,Delivered,5,FALSE
160,91,6376,5/13/2026,Failed,,FALSE
161,155,16293,5/2/2026,Failed,,FALSE
162,10,14573,5/6/2026,Delivered,4.1,FALSE
163,22,21076,5/2/2026,Failed,,FALSE
164,177,16827,4/30/2026,Failed,,TRUE
165,197,11241,5/5/2026,Delivered,3.9,FALSE
166,27,13203,4/23/2026,Delivered,4.4,FALSE
167,112,14556,5/9/2026,Delivered,4.6,FALSE
168,215,21162,5/13/2026,Delivered,2.9,TRUE
169,124,6088,4/28/2026,Delivered,4.6,FALSE
170,185,17332,4/19/2026,Delivered,4.6,FALSE
171,197,4204,4/25/2026,Failed,,FALSE
172,148,13310,4/28/2026,Delivered,4.2,FALSE
173,231,18060,5/8/2026,Delivered,4.7,FALSE
174,13,10030,5/1/2026,Failed,,FALSE
175,148,5150,4/16/2026,Delivered,4.3,TRUE
176,104,4998,5/11/2026,Delivered,4,FALSE
177,237,5852,5/9/2026,Delivered,4.7,FALSE
178,6,4793,5/10/2026,Delivered,3.9,FALSE
179,105,10894,5/12/2026,Delivered,4.9,FALSE
180,15,13952,5/9/2026,Failed,,FALSE
181,93,8469,5/5/2026,Delivered,4.8,FALSE
182,161,10711,4/28/2026,Delivered,4.1,FALSE
183,146,21665,4/30/2026,Failed,,FALSE
